[0.00] 今天我们来讲讲大名鼎鼎的Codex
[1525.34] 所有被归档的会话了
[1526.64] 我们可以解除对应会话的归档状态
[1529.08] 也可以彻底删除对应的会话
[1530.76] 所以你看删除和归档
[1532.70] 还是稍稍有些区别的
[1534.46] 归档这个功能
[1535.74] 我们就讲到这里
[1536.88] 从之前的操作过程中
[1539.10] 我们可以看出
[1539.82] Git真的还是挺重要的
[1541.88] 既然这么重要
[1542.96] 我们能不能让Codex
[1544.52] 每次写完代码的时候
[1545.60] 都能自动提交一次Git commit呢
[1548.24] 这样的话
[1548.88] 就不用麻烦我们每次都操作一遍了
[1551.10] 这当然是可以的
[1552.42] 其中一个方法就是
[1553.54] 我们可以直接在输入框里面
[1555.60] 告诉Codex
[1556.30] 每次完成代码修改之后
[1558.24] 都需要提交一次Git commit
[1560.30] 然后提交这个请求就行了
[1562.10] 这样在后续的操作里面
[1563.66] Codex肯定就会按照我们所说的
[1566.04] 每写完一次代码
[1566.96] 都提交一次Git commit
[1569.24] 不过这个方法有个很大的缺陷
[1571.04] 那就是它只会在当前的会话中生效
[1573.48] 如果我们创建出一个新会话的话
[1575.72] 那Codex就会彻底忘掉这个事情
[1578.48] 所以我们需要一个
[1579.64] 能够跨会话的解决方案
[1581.12] 即使是在一个新会话里
[1582.94] Codex也能帮我们做Git commit
[1585.06] 这个事情
[1585.90] 这能做到吗
[1586.78] 当然是可以的
[1587.90] 这个就是agents.md
[1589.58] 这个文件发挥作用的地方了
[1591.64] agents.md简单来说
[1593.00] 就是一个放在项目根目录里面的
[1595.44] 配置文件
[1596.36] 每当Codex开始一个新会话的时候
[1598.68] 它都会自动读取这个文件
[1600.46] 把里面的内容
[1601.36] 当成对自己的指令来执行
[1603.48] 所以我们只需要在这个文件里面
[1605.48] 写上这个Git commit的要求
[1607.60] 无论我们开多少个新会话
[1609.24] Codex都会记住这件事情的
[1611.24] 我们先把原来的请求删掉
[1613.56] 我们不需要它了
[1615.06] 然后我们点击这里
[1616.18] 使用VSCode打开这个项目目录
[1618.90] 在根目录下创建一个新的文件
[1621.66] 就叫做agents.md
[1625.32] 然后在这个文件里面写
[1626.84] 每次完成代码修改后
[1628.62] 都需要提交一次Git commit
[1630.88] 这样agents.md就创建好了
[1632.74] 让我们把VSCode关掉
[1634.84] 现在让我们来验证一下
[1636.40] agents.md是否真的会生效
[1638.02] 我们首先创建一个新的会话
[1644.10] 然后提交需求
[1645.76] 往左下角增加一个主题切换选项
[1648.52] 支持用户在浅色模式
[1650.40] 和深色模式之间切换
[1651.94] 回车提交
[1653.06] 让codex开始工作
[1666.86] 好
[1667.22] codex已经完成了
[1668.60] 我们来看看效果
[1670.76] 你看左下角确实是出现了一个主题切换按钮
[1673.86] 我们点击对应的主题
[1675.70] 就可以在浅色和深色两种模式之间切换
[1679.12] 看起来非常完美
[1680.98] 我们现在最关心的是
[1682.60] codex有没有帮我们做Git commit的操作
[1685.20] 我们按一下command加J
[1686.94] 打开终端
[1687.78] 执行Git log来看看
[1691.84] 你看这里面确实是多了一个新的commit
[1694.28] message就是codex自己写的
[1697.18] 这说明agents.md确实生效了
[1699.24] 即使是在一个全新的会话里面
[1701.70] codex也遵从了我们的要求
[1703.32] 在完成了代码修改之后
[1705.48] 自动提交了一次Git commit
[1707.96] 这个就是agents.md的基本用法了
[1710.28] 当然它能做的事情远不止这一件
[1712.84] 比如你可以在里面规定代码风格
[1714.94] 命名规范
[1715.78] 技术栈要求
[1716.78] 甚至是你的项目背景介绍等等
[1719.24] codex每次启动新会话的时候
[1721.04] 都会去读取这些文件
[1722.84] 这样它对你的项目就会有非常好的理解
[1725.06] 给出的结果也会更加准确
[1727.32] 可以说agents.md写得越好
[1729.30] codex就会用起来越顺手
[1731.40] 不过需要注意的是
[1732.64] codex只会提交当前需求
[1735.02] 所对应的代码改动
[1736.20] 我们一开始创建的agents.md
[1738.54] 不属于当前需求的范畴
[1740.34] 所以刚才codex并没有把它提交
[1742.62] 为一个git commit
[1744.00] 我们点击这个changes
[1746.40] 再选择unstaged
[1747.68] 就可以发现
[1748.50] agents.md的内容还没有提交上去
[1751.28] 没事
[1751.64] 我们这就提交
[1752.74] 我们先来点一下这个commit按钮
[1755.00] 然后在里面输入对应的commit message
[1758.32] 再点击continue
[1760.44] 这样这个改动就会被提交到git上面了
[1763.16] 好一切顺利
[1764.18] 让我们新开一个会话
[1765.86] 继续迭代笔记软件
[1772.54] 现在这个软件本质上就是一个html文件
[1775.50] 只能在浏览器里打开
[1777.10] 不够方便
[1777.72] 我们想把它改造成一个
[1779.44] 真正的桌面客户端
[1780.56] 让用户可以直接双击图标打开
[1783.14] 就像打开vs code codex一样
[1786.28] 要做桌面客户端的话
[1788.00] electron是非常主流的一个选择
[1790.54] 我们可以顺便也引入react和typescript
[1794.20] 把项目结构整理一下
[1796.48] 方便后续继续迭代
[1798.60] 我们就直接把需求发给codex
[1801.46] 把网页应用改成桌面客户端
[1803.76] 技术栈使用electron
[1805.12] 加上react
[1806.42] 再加上typescript
[1807.58] 注意做好测试
[1808.70] 确保所有的核心功能运转正常
[1811.62] 不过要注意
[1812.36] 这可是一个大工程
[1813.64] 所以我们最好先让codex做一个规划
[1816.06] 我们确认规划没有问题之后
[1817.90] 再让它动工
[1818.56] 为了实现这一点
[1819.64] 我们可以点击这里面的加号
[1821.50] 然后选择plan mode
[1823.12] 这样codex就进入了计划模式
[1825.62] 从这个图标也可以看出这一点
[1827.70] 在这个模式下
[1829.22] codex会先做计划
[1830.76] 再写代码
[1831.48] 让我们来提交试试
[1833.56] 可以看出codex开始工作了
[1835.66] 让我们稍微等待一会
[1842.54] 好
[1842.94] 他现在要问我们几个问题
[1844.46] 我们来做一下选择
[1847.28] 首先是数据要放在哪里
[1848.90] 我们就放到文件里面吧
[1854.06] 然后交付到可开发运行的程度
[1856.82] 就可以了
[1858.58] 这之后codex就会继续开始干活了
[1862.76] 好
[1863.32] 可以看出codex开始给我们写计划了
[1868.78] 我们再稍微等待一会
[1871.28] 他还在撰写的过程中
[1877.68] 好
[1878.24] 写完了
[1879.38] 我们来看一下这个计划本身
[1881.74] 还是比较完善的
[1883.94] 包括各种测试方案
[1887.70] 架构设计都是写的比较详细的
[1890.36] 然后codex问我们
[1891.58] 是不是要按照这个计划去实现代码
[1894.98] 他一共是给了我们两个选项
[1896.82] 第一个选项就是直接同意
[1900.00] 开始实现这个计划就好了
[1901.66] 第二个选项是
[1903.10] 如果你对这个计划不满意的话
[1904.68] 你可以提出你的要求
[1906.08] 在文本框里面
[1907.72] 告诉codex应该如何做修改
[1910.10] 然后codex会根据这个修改
[1911.80] 再出一份新的计划
[1914.56] 这里面我们就不对计划
[1916.46] 再做一些其他修改了
[1918.04] 我们就直接同意好了
[1919.44] 让codex就按照这个计划
[1920.98] 给我们来写代码
[1922.90] 好
[1923.30] 现在codex开始干活了
[1925.10] 我们需要稍微等待一下
[1926.80] 在等待的过程中
[1928.36] 我们可以跟codex随便去聊点东西
[1931.18] 我们可以在输入框里面输入
[1933.24] -side
[1934.86] 打开side chat
[1936.94] 在这里面
[1937.74] 我们就可以随便问codex
[1939.42] 点别的问题
[1940.16] 这些问题
[1941.04] 不会去影响左侧codex的任务执行
[1944.34] 比如说我们可以问一下
[1946.06] 你觉得这个笔记软件
[1947.40] 还需要什么基本功能呢
[1950.12] 提交
[1958.24] 好
[1958.60] codex给了我们一些可行的方案
[1960.92] 你看在side chat的过程中
[1962.98] codex左侧的任务执行
[1964.40] 一点也没有被干扰到
[1965.82] 对
[1966.24] 这个就是side chat的
[1968.06] 一个非常重要的特点了
[1969.42] 它就是允许用户
[1970.66] 在codex执行任务的过程中
[1972.30] 问一些比较轻量级的问题
[1974.00] codex在回答这些轻量级问题的过程中
[1976.72] 不会影响到左侧主任务的执行
[1979.84] 这个就是side chat这个功能的特性了
[1982.32] 这个我们就先讲到这里
[1984.50] 这个架构改造的工作量还是挺大的
[1986.58] codex依然没有完成
[1988.18] 让我们再耐心等待一会儿
[2005.68] 好
[2006.08] 看起来codex已经完成任务了
[2008.36] 它提示我们使用npm run dev这个命令
[2011.50] 就可以启动这个electron应用
[2014.18] 让我们来试一下
[2015.32] 首先按command加j打开终端
[2017.54] 然后执行命令npm run dev
[2019.66] 回车
[2021.76] 这样的话
[2022.40] 这个electron应用就启动开了
[2024.60] 不过看起来好像是有点问题
[2027.62] 基本上是一个白屏的状态
[2030.22] 我们打开控制台
[2031.54] 看一下有没有什么报错
[2038.88] 确实有报错
[2040.30] 这个我们需要让codex帮我们来修一下
[2044.32] 让我们来回到codex这里
[2047.88] 先把这个进程关掉
[2049.90] 然后再把终端关掉
[2051.98] 然后我们提出我们的诉求
[2054.82] 启动后白屏控制台报错了
[2056.72] 看来你之前的测试不够彻底
[2058.42] 请你修复
[2059.54] 并确保在修复之后测试好再交付给我
[2068.70] codex说我说的对
[2071.24] 让我们等codex把这个错误修复之后再试一次
[2085.04] 看起来codex已经修复好了
[2086.90] 我们来看一下它修复后的效果是怎么样的
[2091.20] 同样我们打开终端
[2092.96] 然后执行这个命令
[2097.16] 这次看起来没有问题了
[2098.98] 添加笔记也是可以的
[2100.94] 我们也可以在这里面随便输入标题
[2104.06] 内容都可以
[2105.62] 主题切换也是没有问题的
[2109.30] 看起来已经很完美了
[2110.92] 各项功能都运转正常
[2112.92] 让我们再回到codex这边
[2118.22] 我们先按一下control加c关掉这个进程
[2121.26] 然后再把终端收起
[2124.00] 好
[2124.86] 改成了electron架构
[2126.02] 我们就继续来提新的需求
[2127.92] 我们的新需求是
[2130.20] 为这个笔记应用增加markdown支持
[2132.52] 具体来说需要在编辑器右上角
[2134.96] 提供两个模式切换按钮
[2137.30] 假设这个时候我想换行怎么做呢
[2139.58] 直接按回车肯定是不行的
[2141.58] 按回车就提交了
[2142.66] 正确的做法是按shift加回车
[2144.88] 你看这样就可以回车了
[2147.22] 我们继续输入任务内容
[2149.70] 首先是编辑模式
[2151.20] 显示所有文本内容
[2152.54] 并对其中的markdown语法
[2154.04] 进行高亮显示
[2155.52] 然后还有一个是预览模式
[2157.74] 它用于显示markdown的渲染结果
[2161.00] 现在再回车
[2164.24] 好可以看到codex开始工作了
[2166.26] 在它工作的间隙
[2167.52] 我们再创建一个新的会话
[2169.54] 让它再处理另外一个关系不大的任务
[2179.64] 我们的新任务就是给笔记项目
[2182.38] 生成一个logo
[2183.12] svg格式
[2185.10] 可以看出这两个会话都在工作中了
[2187.62] 假设这个时候你突然想到了
[2189.42] 我们的笔记软件
[2190.24] 有深浅两种模式
[2191.52] 这个logo需要在任意一个模式下
[2193.22] 都清晰可见
[2193.98] 我们最好提醒一下codex
[2195.48] 以免它忘了
[2198.20] 好让我们发送请求
[2199.54] 不过这个请求似乎没有发出去
[2201.90] 它似乎卡在这里了
[2203.36] 没错
[2203.94] 在默认情况下
[2205.16] 只有当上一个请求完成后
[2206.88] codex才会继续处理下一个请求
[2208.80] 不过到那个时候就有点晚了
[2210.88] 毕竟logo都生成好了
[2212.60] 我们能不能现在就把这个信息发送给
[2215.14] codex
[2215.58] 让它在生成logo前就注意到这一点呢
[2218.48] 没问题
[2219.20] 注意到这里的steer按钮了吗
[2221.16] 点一下
[2221.90] 我们的请求就会立即发送给codex
[2224.24] 这样我们的目标就达到了
[2226.64] codex现在还在运行中
[2228.40] 我们稍稍等待一会儿
[2242.12] 好可以看出logo已经生成完毕了
[2244.26] 我们切回到原来的那个会话
[2246.18] 看看它的进度怎么样了
[2248.62] 它还在运行中
[2249.98] 所以我们可能还需要再稍微等那么一会儿
[2271.42] 好这两个任务都完成了
[2273.46] 我们来直接打开软件
[2274.78] 看看最终效果
[2275.72] 首先是要打开终端
[2278.08] 然后我们运行npm start
[2280.10] 打开electron应用
[2282.44] 看起来好像是有点问题
[2283.88] logo没有被成功的加载起来
[2286.90] 我们需要跟codex说一下这个事情
[2290.06] 然后我们先关掉这个electron应用
[2294.76] 然后我们关掉这个electron进程
[2297.62] 先看看这个logo在不在
[2302.08] 这个logo确实是在public文件夹里面的
[2305.40] 应该不是文件不存在导致的
[2307.94] 是不是这个svg文件的格式有问题
[2310.68] 我们来到访达来验证一下
[2314.38] 打开public文件夹
[2316.54] 看来这个svg文件的格式也是没有问题的
[2319.68] 毕竟访达都正常渲染出来了
[2322.56] 大概率是electron加载svg文件的方法有问题
[2328.24] 让我们来让codex修一下
[2330.54] 首先按command加G
[2332.20] 我们唤起会话列表
[2334.36] 然后选择生成logo的会话
[2339.24] 然后在这里面我们输入具体的问题
[2344.16] logo没有显示出来
[2346.48] 提交
[2347.92] 提交之后
[2348.88] codex就开始给我们排查原因了
[2352.30] 我们再稍微等一会
[2363.16] 修复完毕
[2363.92] 我们再次启动这个软件看看效果
[2368.78] 首先打开终端运行npm start
[2372.72] 好
[2373.12] 这次看起来logo是成功的显示出来了
[2377.12] 我们还可以随便点一点其他的功能
[2379.68] 看看整体是否运转正常
[2384.36] markdown
[2385.62] 我们可以随便输入几个markdown的关键词
[2389.60] 看一看它的高亮显示是否正常
[2393.72] 看起来似乎并没有什么太大问题
[2396.88] 各种格式都可以非常正常的显示出来
[2403.60] 可以看出预览也是没有问题的
[2406.10] 这次需求就到这里了
[2407.98] 我们再次回到codex这里
[2410.06] 继续迭代它
[2414.98] 前面我们讲的都是codex的基本能力
[2417.92] 下面我们来讲讲plugin
[2419.82] 你可以把plugin想象成一个codex的外挂
[2423.00] 它会给codex相应的能力
[2424.80] 帮助codex去做更多的事情
[2426.70] 这么说可能比较抽象
[2428.96] 我们可以来实战一下
[2431.38] 我们首先可以打开侧边栏
[2434.60] 然后点击里面的plugins
[2436.44] 在这里我们就能够看到
[2438.16] 所有可用的plugin了
[2439.50] 其中有能控制电脑的
[2441.60] 有用于操作chrome的
[2443.34] 还有用于编辑excel的
[2445.30] 还有一些是用来制作PPT的
[2448.08] 如果plugin的旁边打了勾
[2449.68] 那代表plugin已经被安装好了
[2452.46] 如果plugin没有安装的话
[2454.00] 旁边会是一个加号
[2455.36] 我们点击加号就可以正常安装了
[2457.52] 我们来随便点击plugin
[2459.16] 看看它内部到底有什么
[2460.90] 比如我们可以点一下
[2462.16] 这个叫做gmail的plugin
[2463.52] 可以看到plugin内部
[2465.08] 有三个组成部分
[2466.02] 其中一个是app
[2467.12] 两个是skill
[2468.04] 这个app是用来把codex
[2470.22] 和gmail连接起来的
[2471.82] 它里面提供了很多的工具
[2473.52] 当然codex没有叫它是工具
[2475.28] codex叫它是action
[2476.56] 但其实本质上
[2478.28] 这里面就是一个一个的工具
[2479.68] 跟mcp的工具差不多
[2481.84] 比如apply labels to emails
[2483.80] 就是用来给邮件打标签的
[2486.22] archive emails
[2487.50] 就是用来归档邮件的
[2489.18] 这个app一共是提供了
[2490.68] 24个这样的工具
[2491.84] 除了app之外
[2493.38] 这个plugin还提供了两个skill
[2495.72] 你基本上是可以把skill
[2497.36] 当成是给大模型看的一个说明文档
[2499.40] 比如说是gmail skill
[2501.86] 它就写明了
[2503.00] 怎么总结邮件内容
[2504.34] 怎么撰写回复
[2505.92] 以及什么时候该用哪些工具等等
[2508.56] 而这个叫做inbox triage的skill
[2511.30] 则是告诉大模型
[2512.74] 如何给邮件归类的
[2514.40] 比如说哪些邮件比较紧急
[2516.42] 哪些邮件需要回复等等
[2518.54] 如果你对skill比较感兴趣
[2520.14] 可以看一下我的视频
[2521.64] 把skill的使用方法和运行原理
[2524.06] 一次讲明白
[2525.38] gmail的app所包含的内容
[2527.32] 就只有这三个了
[2528.48] 我们如果选择安装gmail插件
[2530.82] 其实就是选择安装了这三个组件
[2533.12] 等到用户想要codex操作gmail的时候
[2535.98] GPT模型便会找到这三个组件
[2538.14] 并用它们提供的能力和说明
[2540.20] 来完成用户的要求
[2541.40] 大致就是这个样子的
[2543.20] 我们来看一个具体的例子
[2545.58] 比如说是presentations
[2547.20] 这个plugin是用来写PPT的
[2549.80] 它只有一个组件
[2550.62] 那就是这个叫做presentations的skill
[2553.32] 这个skill详细说明了
[2555.18] 该怎么做
[2555.82] 才能做出一个高质量的PPT
[2558.00] 下面我们就尝试用这个
[2559.86] 叫做presentations的plugin
[2561.66] 来完成我们的需求
[2563.08] 让我们来新建一个会话
[2564.64] 然后输入我们的要求
[2565.88] 给这个笔记软件做一个PPT
[2568.02] 介绍它的产品设计和技术架构
[2571.16] 提交之后
[2571.96] codex就会找到
[2573.14] 我们前面所说的
[2574.34] 那个叫做presentations的plugin
[2576.74] 并使用那个plugin
[2578.10] 提供的能力来做PPT
[2580.38] 当然如果你担心
[2581.54] codex找不到这个plugin
[2582.94] 或者说是找错了的话
[2584.24] 你可以明确要求codex
[2585.70] 使用这个叫做presentations的plugin
[2588.08] 这只需要在任务的最前面
[2590.30] 输入一个at符号
[2591.70] 然后敲入presentations回车
[2593.90] 这样codex就一定会使用
[2596.00] presentations这个plugin
[2597.42] 来做PPT了
[2598.96] 不过不加也没关系
[2600.36] codex会自动找到这个plugin的
[2603.00] 所以我们暂时就把它给去掉
[2605.92] 好
[2606.36] 提交
[2607.84] 可以看出codex开始工作了
[2609.68] 我们稍微等待一会
[2632.86] codex做好了
[2633.82] 我们打开看看
[2642.34] 中规中矩
[2643.30] 其中其实还有不少可以改进的地方
[2646.08] 不过这已经是一个不错的起点了
[2648.34] 我们可以在这个基础上
[2649.52] 做一些其他的改进
[2655.72] 这个叫做presentations的plugin
[2658.26] 并不能算很惊艳
[2659.92] 下面我给大家介绍openai
[2661.62] 所提供的两个很实用的plugin
[2664.00] 一个是叫做computer use
[2666.26] 用来控制电脑
[2667.36] 另一个是叫做chrome
[2668.90] 用来操作chrome浏览器
[2671.16] 我们先来试一试chrome插件
[2674.18] 让我们来到插件管理的地方
[2678.44] 然后点击chrome旁边的加号
[2681.34] 来安装插件
[2684.74] 点击install chrome
[2686.84] 好安装好了
[2687.80] 然后codex提示
[2689.24] 我们需要在chrome上面
[2690.48] 也安装对应的扩展才行
[2691.94] 好
[2693.02] 我们就按照它的指示
[2694.28] 来安装扩展
[2701.76] 一切准备就绪之后
[2703.14] 我们就来尝试用chrome插件
[2706.56] 我们可以直接点击旁边的按钮
[2709.10] 这样的话
[2710.04] codex就可以给我们初始化一个
[2712.38] 使用当前插件的这么一个请求
[2715.28] 我们可以把后面的部分给去掉
[2718.16] 换成我们具体的请求
[2719.82] 那就是打开product hunt首页
[2723.70] 然后再找出今天最热门的
[2726.38] 三个新发布的产品
[2727.72] 总结它们各自的特点
[2729.24] 并附上对应的访问链接
[2731.92] 好提交
[2734.20] 为了让大家看得更清楚
[2735.74] 让我来把codex缩小一点
[2738.56] 把chrome浏览器放出来
[2740.30] 这样的话
[2741.34] 大家就可以更清楚地看到
[2743.12] codex到底是如何干活的了
[2746.14] 可以看到codex创建了一个标签组
[2748.90] 这个标签组专门用于解决我们的问题
[2751.98] 然后它在这个标签组里面
[2754.04] 访问了product hunt的首页
[2756.50] 今天最热门的三个新发布的产品
[2758.82] 就在这里了
[2759.52] 相信codex也看到了
[2764.68] 可以看到现在codex开始
[2766.68] 打开另外一个标签页了
[2768.12] 这个看起来是第一个产品
[2770.38] brew的一个相关网站
[2772.44] 然后它又打开了一个
[2775.52] 接下来我们就不管了
[2777.74] codex估计还会查看更多的网页
[2780.48] 我们就在这里稍微等待一会儿
[2783.04] 相信它等会就可以查询
[2785.00] 全部的产品页面
[2786.86] 然后给我们一个比较有用的反馈
[2789.48] 让我们稍微等待一下
[2801.58] 好codex给我们总结了
[2803.72] 这个基本上也就是我们想要的结果了
[2806.20] 这个就是chrome插件的相关使用方法了
[2809.78] 让我们把codex再次最大化
[2812.48] 然后下面我们就来看一看
[2816.04] computer use插件的使用方法
[2818.84] 它是用来操作电脑的
[2820.98] 同样我们点击加号
[2822.56] 然后进行安装
[2830.38] 安装成功
[2831.32] 让我们来使用一下
[2833.38] 跟chrome的使用方法类似
[2835.52] 我们也可以点击computer use旁边的小图标
[2839.44] 这样直接就能开启一个相关的computer use会话
[2843.16] 我们先把后面这段文本删掉
[2845.40] 因为它跟我们真实的请求没有什么关系
[2848.30] 然后我们再稍微改一下
[2850.50] 请求所对应的目录
[2852.38] 我们现在是放在马克笔记这个地方
[2854.94] 但实际上我们要打的请求
[2857.50] 跟这个项目其实没什么太大关系
[2859.62] 所以我们就选择
[2861.24] don't work in the project
[2862.52] 也就是说这就是我们随便提出来的
[2865.38] 一个请求
[2866.08] 不会去绑定某个具体的项目目录
[2868.50] 之后我们就可以正式输入自己的请求了
[2872.36] 那就是请打开我电脑自带的日历应用
[2875.58] 帮我新建一个5月28日10点的日程
[2878.20] 标题叫做
[2880.10] 讨论马克笔记的后续设计
[2883.10] 没错就是这样
[2884.18] 我们让codex操作一下日历这个应用
[2887.30] 然后同之前一样
[2888.52] 我们把codex缩小
[2889.90] 把日历这个软件露出来
[2892.22] 这样大家就可以更清楚的看到
[2894.68] codex是怎么操作我们这个日历软件的
[2900.98] 好
[2901.42] codex首先询问我们能不能使用日历
[2904.32] 这个应用
[2904.78] 我们同意
[2909.16] 可以看出codex开始行动了
[2911.24] 这个就是codex的鼠标
[2913.58] 它跟我们所使用的鼠标
[2915.54] 根本是两套
[2916.54] 彼此之间互不影响
[2918.42] 然后codex就开始操作鼠标
[2921.70] 去完成我们的需求
[2924.10] 它还需要我们确认一下
[2926.12] 是不是真的要创建这个日程
[2928.54] 这个有点啰嗦
[2929.54] 那当然是确认了
[2930.76] 我们给它回复一下
[2944.18] 好
[2944.58] 看起来codex已经完成了我们的要求了
[2947.98] 我们来看一下
[2950.64] 看起来这个日程的标题和时间段
[2953.12] 都是满足我们要求的
[2954.48] 那就没问题了
[2955.84] 我们再把codex最大化
[2958.38] 这个基本上就是computer use
[2960.46] 这个插件的使用方法了
[2962.38] 值得一提的是
[2963.34] codex使用独立的虚拟鼠标
[2965.38] 与你的鼠标互不干扰
[2966.86] 刚才把日历软件提到前台
[2969.12] 只是为了演示
[2969.96] 实际上你完全可以让它在后台默默干活
[2973.34] 自己该干嘛干嘛
[2974.64] 上网看视频都可以
[2976.26] 完全不会耽误
[2977.74] 好
[2978.00] computer use讲完了
[2979.24] 我们接下来就来看看skill是如何使用的
[2982.14] 想要浏览skill
[2983.44] 我们就必须要先打开plugins
[2985.82] 然后再点击这里面的skills
[2987.66] 就可以看到可用的skill列表了
[2989.50] 其实我们之前用plugin的时候
[2991.50] 已经间接的用过skill了
[2993.14] 因为无论是presentations
[2994.92] computer use还是chrome
[2996.44] 这几个plugin的核心组件都是skill
[2999.16] 你在skill标签下面都能找到
[3002.12] 当我们安装对应的plugin的时候
[3004.20] 我们都会把相关的skill一块安装好
[3007.52] 所以我们在这里都能找到这些skill
[3010.16] 不过有一个王牌级的skill
[3011.74] 是单独列在skill这个标签下面的
[3014.18] 它并没有一个对应的plugin
[3016.38] 这个skill就是imagegen
[3018.46] 它是用来生成图片的
[3020.32] 相信大家对GPT的生图能力早有耳闻
[3023.40] 不仅美观
[3024.26] 而且非常的真实
[3025.54] 下面我们就来使用skill
[3027.70] 来创建一个图片
[3028.66] 我们在马克笔记项目下新建一个会话
[3031.68] 然后输入我们的要求
[3033.90] 给笔记软件生成一个宣传海报图片
[3036.56] 注意要使用我给你的真实的软件截图
[3039.66] 然后我们需要给codex相应的软件截图
[3042.66] 我们先按command加j打开终端
[3047.96] 然后执行npm start命令
[3050.58] 来打开我们的笔记软件
[3055.08] 然后我们回到codex这里
[3056.76] 点击加号
[3059.32] 再找到其中的attach electron这个选项
[3062.64] 这里面的electron其实就是
[3064.70] 我们的马克笔记软件了
[3066.64] 我们的笔记软件就是用electron做的
[3069.24] 所以在codex里面看来
[3071.32] 这个笔记软件就叫做electron
[3073.30] 我们来直接点击这个选项
[3075.72] 点击之后
[3076.90] codex询问我们是否要启用这个功能
[3079.58] 我们点击enable
[3082.00] 然后我们的马克笔记截图
[3083.94] 就到了聊天框里面了
[3085.84] 这样codex在做海报的时候
[3087.58] 就可以根据真实的软件截图来做了
[3090.70] 是不是很方便
[3091.76] 点一下按钮
[3092.86] 就可以把截图放进来了
[3094.76] 不过这个还不是最方便的
[3097.12] codex还提供了一个快捷键
[3098.58] 按一下就能够把截图传过来
[3100.60] 我来给大家演示一下
[3102.14] 我们之前给codex的是浅色模式的截图
[3105.40] 我现在再给codex传一张深色模式的
[3107.86] 我们回到马克笔记这里
[3109.72] 调到深色模式
[3111.62] 然后重点来了
[3112.88] 左右command键同时按下
[3115.08] 这样深色模式的马克笔记截图
[3117.50] 也传给codex了
[3118.82] 这个确实更加方便了
[3121.16] 好
[3121.52] 现在codex有了浅色和深色
[3124.00] 两种模式的截图
[3125.02] 我们可以让它开始做海报了
[3126.92] 提交
[3134.32] 首先我们可以注意到
[3135.66] codex会使用imagegen
[3137.48] 这个我们之前提到的技能
[3139.08] 来做这张宣传海报
[3141.46] 然后我们就再等等
[3142.64] 看它能画出什么样子来
[3153.14] 画完了
[3153.72] 我觉得还行吧
[3155.16] 确实是基于我们的截图来做的
[3157.10] 不知道你觉得怎么样呢
[3162.72] 除了使用codex
[3163.82] 给我们安装的skill外
[3164.92] 我们也可以创建自己的skill
[3166.74] 让我们按command加n
[3168.44] 新建一个会话
[3169.88] 然后输入我们的任务
[3171.90] 写一个代码审核skill
[3173.52] 专门给当前的项目使用
[3175.26] 这个skill应该包含如下的规则
[3178.78] 好
[3179.14] 我们提交
[3192.74] 可以看到这个skill已经做好了
[3195.62] 它的名字就叫做marknotes code review
[3199.46] 下面让我们按一下
[3201.12] command加n
[3202.06] 新建一个会话
[3203.06] 试试这个skill的效果
[3205.22] 首先我们add这个skill
[3207.52] 然后提出我们的请求
[3209.60] 检查当前项目的代码是否有问题
[3213.14] 好
[3213.58] 可以了
[3220.16] 结果出来了
[3221.12] 还可以
[3221.92] 我们还可以让codex
[3223.44] 根据审查的结果来修改代码
[3225.18] 这里我就不再继续演示了
[3228.24] 我们的笔记软件每天都在迭代
[3230.18] 每天都有代码更新
[3231.50] 所以我们最好能每天定时检查下代码
[3234.32] 看看有没有什么问题
[3235.52] 这种场景就很适合起一个定时任务来处理
[3238.78] codex也提供了这样的功能
[3240.88] 让我们来点击这里面的三个点
[3244.76] 再点击add automation
[3247.10] 也就是添加一个定时任务
[3250.70] 这里是定时任务的标题
[3252.74] codex已经帮我们填好了
[3254.34] 这里填写发起定时任务的时候
[3256.96] 我们需要发给codex的要求
[3258.74] 我们的要求就是检查当前项目的代码
[3262.06] 是否有问题
[3263.48] 然后下面是执行环境
[3264.92] 一共是有三个选项
[3267.12] 分别是local worktree和chats
[3270.12] local是在某个项目目录里面
[3272.54] 运行定时任务
[3273.90] worktree是基于某个项目目录
[3276.04] 创建一个新的worktree
[3277.16] 定时任务就在新的worktree里面运行
[3279.98] worktree的概念我们之前讲过
[3281.82] 它是git的一个概念
[3283.10] 如果你还是一知半解的话
[3284.78] 可以先不管
[3285.46] 我们这里不用这个选项
[3287.16] chats是执行环境
[3288.98] 不跟任何项目目录绑定
[3290.60] 我们之前用chrome plugin
[3292.52] 搜索网络的时候
[3293.48] 实际上是用过chats环境的
[3296.00] 这里最适合我们的是local
[3297.52] 毕竟我们的定时任务
[3298.74] 就是要扫描马克笔记的项目代码
[3300.78] 所以一定是要跟某个项目目录
[3303.08] 绑定起来的
[3304.00] 让我们选择local
[3306.54] 然后在这里面选择马克笔记
[3309.78] 然后这边是运行频率
[3311.50] 我们选择daily
[3312.72] 具体的时间
[3313.60] 我们就维持在9点钟
[3315.30] 意思就是我们定时任务
[3317.10] 在每天9点钟的时候启动
[3319.66] 下面我们选择模型
[3321.52] GPT 5.5推理强度
[3323.32] 我们就维持目前的medium就好了
[3325.76] 然后我们点击save
[3329.54] 再打开左边栏
[3333.12] 我们就可以看到automations
[3334.82] 这里面多了一个1
